date,time,Reconstructed_Total
19-09-2024,06:00 - 06:05,156
19-09-2024,06:05 - 06:10,155
19-09-2024,06:10 - 06:15,154
19-09-2024,06:15 - 06:20,154
19-09-2024,06:20 - 06:25,156
19-09-2024,06:25 - 06:30,162
19-09-2024,06:30 - 06:35,170
19-09-2024,06:35 - 06:40,179
19-09-2024,06:40 - 06:45,184
19-09-2024,06:45 - 06:50,181
19-09-2024,06:50 - 06:55,175
19-09-2024,06:55 - 07:00,176
19-09-2024,07:00 - 07:05,181
19-09-2024,07:05 - 07:10,188
19-09-2024,07:10 - 07:15,192
19-09-2024,07:15 - 07:20,199
19-09-2024,07:20 - 07:25,211
19-09-2024,07:25 - 07:30,223
19-09-2024,07:30 - 07:35,232
19-09-2024,07:35 - 07:40,240
19-09-2024,07:40 - 07:45,248
19-09-2024,07:45 - 07:50,253
19-09-2024,07:50 - 07:55,251
19-09-2024,07:55 - 08:00,241
19-09-2024,08:00 - 08:05,226
19-09-2024,08:05 - 08:10,209
19-09-2024,08:10 - 08:15,195
19-09-2024,08:15 - 08:20,185
19-09-2024,08:20 - 08:25,182
19-09-2024,08:25 - 08:30,184
19-09-2024,08:30 - 08:35,187
19-09-2024,08:35 - 08:40,188
19-09-2024,08:40 - 08:45,188
19-09-2024,08:45 - 08:50,194
19-09-2024,08:50 - 08:55,211
19-09-2024,08:55 - 09:00,229
19-09-2024,09:00 - 09:05,233
19-09-2024,09:05 - 09:10,222
19-09-2024,09:10 - 09:15,210
19-09-2024,09:15 - 09:20,207
19-09-2024,09:20 - 09:25,212
19-09-2024,09:25 - 09:30,218
19-09-2024,09:30 - 09:35,213
19-09-2024,09:35 - 09:40,200
19-09-2024,09:40 - 09:45,189
19-09-2024,09:45 - 09:50,184
19-09-2024,09:50 - 09:55,184
19-09-2024,09:55 - 10:00,186
19-09-2024,10:00 - 10:05,190
19-09-2024,10:05 - 10:10,192
19-09-2024,10:10 - 10:15,194
19-09-2024,10:15 - 10:20,195
19-09-2024,10:20 - 10:25,196
19-09-2024,10:25 - 10:30,196
19-09-2024,10:30 - 10:35,197
19-09-2024,10:35 - 10:40,198
19-09-2024,10:40 - 10:45,199
19-09-2024,10:45 - 10:50,198
19-09-2024,10:50 - 10:55,196
19-09-2024,10:55 - 11:00,194
19-09-2024,11:00 - 11:05,193
19-09-2024,11:05 - 11:10,195
19-09-2024,11:10 - 11:15,199
19-09-2024,11:15 - 11:20,205
19-09-2024,11:20 - 11:25,210
19-09-2024,11:25 - 11:30,212
19-09-2024,11:30 - 11:35,214
19-09-2024,11:35 - 11:40,216
19-09-2024,11:40 - 11:45,218
19-09-2024,11:45 - 11:50,216
19-09-2024,11:50 - 11:55,205
19-09-2024,11:55 - 12:00,197
19-09-2024,12:00 - 12:05,203
19-09-2024,12:05 - 12:10,224
19-09-2024,12:10 - 12:15,245
19-09-2024,12:15 - 12:20,252
19-09-2024,12:20 - 12:25,245
19-09-2024,12:25 - 12:30,232
19-09-2024,12:30 - 12:35,219
19-09-2024,12:35 - 12:40,211
19-09-2024,12:40 - 12:45,212
19-09-2024,12:45 - 12:50,217
19-09-2024,12:50 - 12:55,221
19-09-2024,12:55 - 13:00,221
19-09-2024,13:00 - 13:05,218
19-09-2024,13:05 - 13:10,217
19-09-2024,13:10 - 13:15,222
19-09-2024,13:15 - 13:20,233
19-09-2024,13:20 - 13:25,248
19-09-2024,13:25 - 13:30,266
19-09-2024,13:30 - 13:35,279
19-09-2024,13:35 - 13:40,278
19-09-2024,13:40 - 13:45,263
19-09-2024,13:45 - 13:50,239
19-09-2024,13:50 - 13:55,220
19-09-2024,13:55 - 14:00,212
19-09-2024,14:00 - 14:05,212
19-09-2024,14:05 - 14:10,216
19-09-2024,14:10 - 14:15,220
19-09-2024,14:15 - 14:20,224
19-09-2024,14:20 - 14:25,227
19-09-2024,14:25 - 14:30,227
19-09-2024,14:30 - 14:35,225
19-09-2024,14:35 - 14:40,219
19-09-2024,14:40 - 14:45,211
19-09-2024,14:45 - 14:50,206
19-09-2024,14:50 - 14:55,204
19-09-2024,14:55 - 15:00,206
20-09-2024,06:00 - 06:05,222
20-09-2024,06:05 - 06:10,223
20-09-2024,06:10 - 06:15,227
20-09-2024,06:15 - 06:20,224
20-09-2024,06:20 - 06:25,209
20-09-2024,06:25 - 06:30,189
20-09-2024,06:30 - 06:35,179
20-09-2024,06:35 - 06:40,182
20-09-2024,06:40 - 06:45,199
20-09-2024,06:45 - 06:50,226
20-09-2024,06:50 - 06:55,252
20-09-2024,06:55 - 07:00,265
20-09-2024,07:00 - 07:05,256
20-09-2024,07:05 - 07:10,235
20-09-2024,07:10 - 07:15,218
20-09-2024,07:15 - 07:20,210
20-09-2024,07:20 - 07:25,212
20-09-2024,07:25 - 07:30,224
20-09-2024,07:30 - 07:35,239
20-09-2024,07:35 - 07:40,252
20-09-2024,07:40 - 07:45,262
20-09-2024,07:45 - 07:50,267
20-09-2024,07:50 - 07:55,265
20-09-2024,07:55 - 08:00,257
20-09-2024,08:00 - 08:05,246
20-09-2024,08:05 - 08:10,237
20-09-2024,08:10 - 08:15,235
20-09-2024,08:15 - 08:20,238
20-09-2024,08:20 - 08:25,243
20-09-2024,08:25 - 08:30,244
20-09-2024,08:30 - 08:35,241
20-09-2024,08:35 - 08:40,237
20-09-2024,08:40 - 08:45,232
20-09-2024,08:45 - 08:50,230
20-09-2024,08:50 - 08:55,228
20-09-2024,08:55 - 09:00,227
20-09-2024,09:00 - 09:05,226
20-09-2024,09:05 - 09:10,223
20-09-2024,09:10 - 09:15,219
20-09-2024,09:15 - 09:20,214
20-09-2024,09:20 - 09:25,214
20-09-2024,09:25 - 09:30,220
20-09-2024,09:30 - 09:35,224
20-09-2024,09:35 - 09:40,215
20-09-2024,09:40 - 09:45,203
20-09-2024,09:45 - 09:50,206
20-09-2024,09:50 - 09:55,224
20-09-2024,09:55 - 10:00,247
20-09-2024,10:00 - 10:05,255
20-09-2024,10:05 - 10:10,242
20-09-2024,10:10 - 10:15,224
20-09-2024,10:15 - 10:20,214
20-09-2024,10:20 - 10:25,217
20-09-2024,10:25 - 10:30,225
20-09-2024,10:30 - 10:35,231
20-09-2024,10:35 - 10:40,229
20-09-2024,10:40 - 10:45,215
20-09-2024,10:45 - 10:50,200
